Radius_nm,BetaFactor_mean,BetaFactor_stdev,DistToWall_mean,DistToWall_stdev,ModeVolume_mean,ModeVolume_stdev,PurcellFactor_mean,PurcellFactor_stdev,qFactor_mean,qFactor_stdev,EnergyRatio_mean,EnergyRatio_stdev
2000,0.9545526720635573,0.001732209747021307,144.01572007860022,5.133620899518729,261152113.90369081,13966855.483802747,21.01948799472288,0.8392654411326109,3829.4163069249184,15.455141422183896,98.95458508296315,0.04800499055103541
2500,0.9502304037261078,0.002871876369190153,160.9008045040226,11.210754905764146,340837528.9549513,15856867.511397477,19.137394988915254,1.1653971017639322,4682.642848845539,1.221777834999698,99.22114756939159,0.03814597194891623
3000,0.946512609959905,0.002456302563871678,161.5808079040393,3.500285348320572,442718512.0045691,18570356.946928583,17.72231394904671,0.859953310767858,5469.747298994976,3.0285937037451305,99.36870327931354,0.02511625302880557
3500,0.9432327339792679,0.0021452128952500903,164.4933224666119,3.1249886248265457,548760270.8096048,21012060.178982917,16.63257499463789,0.6665787804486516,6211.332506371583,6.808553435242342,99.46985680332172,0.017741867992627336
4000,0.9386154347119832,0.0027462101375196374,174.8808744043721,3.695218064746111,654512488.4086577,26366591.8589792,15.31523136874266,0.7302702992002329,6906.455986973273,10.216615254725188,99.54994181270004,0.016491521623338442
4500,0.9354780200633274,0.002461147185343289,178.06870284351407,3.0914583470483943,772927127.2344714,29135198.080300722,14.515497454958087,0.5910675839778564,7572.693515038466,14.069232831479274,99.60499134368663,0.012702518580424224
5000,0.9310418510289935,0.0028512004768973466,179.36464682323395,6.552904272494333,890016490.5185143,37545941.9451215,13.521403860244652,0.6005299547201493,8190.708956206729,19.336749453763172,99.65264639484806,0.011961146894653118
