Diameter_nm,BetaFactor_mean,BetaFactor_stdev,DistToWall_mean,DistToWall_stdev,ModeVolume_mean,ModeVolume_stdev,PurcellFactor_mean,PurcellFactor_stdev,qFactor_mean,qFactor_stdev,EnergyRatio_mean,EnergyRatio_stdev
2000,0.9554227934745017,0.0017347740595398333,91.36545682728405,1.9799088868668124,254425432.70099968,14582100.665288588,21.44998926374327,0.8736675545026003,3485.9522332161237,6.358473891757295,99.42295992377521,0.030443416436158204
2500,0.9491540669962415,0.0022902588217377203,100.66800334001664,2.6216573919380446,338407496.47820306,20902388.249895427,18.693878534081946,0.8868558275248855,4268.764518954482,1.344347273930875,99.57566138254484,0.023143673918420087
3000,0.9448318057873478,0.002103029675462477,111.27222302778175,2.3877846109612073,439945606.0689826,22648892.08451104,17.143957368779343,0.6915727683672441,5023.740242119719,4.072964135567108,99.65832388157645,0.014969598751942837
3500,0.9407107291814906,0.0019781978749317925,120.74977041551817,2.282732286508828,551067425.7909651,24252312.173669346,15.878982140343373,0.5631497182204165,5755.332464927432,8.831719940249467,99.71457858023606,0.010435477313833073
4000,0.9359864557587406,0.0024450931438746554,128.1031405157027,2.6998329375712937,656704049.8490046,32038008.262896083,14.638800768965108,0.5973584655761368,6457.234691933682,16.81045403817375,99.7588178864091,0.009608876834366018
4500,0.932420867727682,0.002334557802214844,136.83443417217052,2.6581338085350024,780882935.1925184,33858753.640154906,13.810718505924868,0.5115963614928224,7141.947110468263,21.063554511143746,99.78841921424484,0.007430157329416107
5000,0.9281121522266286,0.0027807423288099755,143.9119695598476,3.0719726959930576,898390803.9108632,42234376.5994389,12.92722126579683,0.5387338730941006,7794.772138290869,30.919442792689967,99.8132723658439,0.007150311529692338
