Mode 1,Mode 2,FSR_Y_d,FSR_Y_meV,FSR_Y_nm
922.6807210173325,966.0702681590898,2.0,60.35194810252801,43.38954714175725
934.4441481944754,969.2632541882765,2.5,47.663821293361934,34.819105993801145
943.9508968781857,973.1445815275856,3.0,39.402926521810514,29.19368464939987
951.7648953707788,976.9469975363666,3.5,33.57821730124374,25.182102165587708
958.3168613780607,980.4841491398312,4.0,29.25022364714573,22.167287761770467
944.8980811395871,963.9035698558463,4.5,25.87181068282689,19.00548871625915
951.4719248725917,968.7335587831592,5.0,23.219235561010464,17.261633910567525
